2026-04-06 09:25:24 | INFO | app.core.logging:60 | Logging initialised — level=INFO
2026-04-06 09:25:24 | INFO | app.main:57 | ============================================================
2026-04-06 09:25:24 | INFO | app.main:58 | Starting CyberRAG-IDS v1.0.0
2026-04-06 09:25:24 | INFO | app.main:59 | ============================================================
2026-04-06 09:26:04 | INFO | app.services.lstm_service:99 | LSTM inference device: cuda
2026-04-06 09:26:07 | INFO | app.services.lstm_service:110 | Scaler loaded: ml\checkpoints\scaler.pkl
2026-04-06 09:26:07 | INFO | app.services.lstm_service:122 | Feature count: 119
2026-04-06 09:26:08 | INFO | ml.training.model:194 | Model loaded from ml\checkpoints\lstm_ids.pt
2026-04-06 09:26:08 | INFO | ml.training.model:195 |   Parameters: 270,209
2026-04-06 09:26:08 | INFO | ml.training.model:196 |   Device: cuda
2026-04-06 09:26:08 | SUCCESS | app.services.lstm_service:143 | LSTM model loaded and ready for inference!
2026-04-06 09:26:08 | SUCCESS | app.main:66 | LSTM service ready.
2026-04-06 09:26:08 | WARNING | app.services.rag_service:16 | RAGService stub: /chat endpoint is unavailable. Full RAG implemented in Batch 4.
2026-04-06 09:26:08 | SUCCESS | app.main:78 | RAG service ready.
2026-04-06 09:26:08 | INFO | app.main:84 | API listening on http://0.0.0.0:8000
2026-04-06 09:26:08 | INFO | app.main:85 | Docs available at: http://localhost:8000/docs
2026-04-06 09:32:04 | INFO | app.main:90 | Shutting down...
2026-04-06 09:32:04 | INFO | app.services.lstm_service:152 | LSTM model unloaded.
2026-04-06 09:32:04 | INFO | app.main:98 | Shutdown complete.
2026-04-06 09:34:31 | INFO | app.core.logging:60 | Logging initialised — level=INFO
2026-04-06 09:34:31 | INFO | app.main:57 | ============================================================
2026-04-06 09:34:31 | INFO | app.main:58 | Starting CyberRAG-IDS v1.0.0
2026-04-06 09:34:31 | INFO | app.main:59 | ============================================================
2026-04-06 09:34:32 | INFO | app.services.lstm_service:99 | LSTM inference device: cuda
2026-04-06 09:34:33 | INFO | app.services.lstm_service:110 | Scaler loaded: ml\checkpoints\scaler.pkl
2026-04-06 09:34:33 | INFO | app.services.lstm_service:122 | Feature count: 119
2026-04-06 09:34:33 | INFO | ml.training.model:194 | Model loaded from ml\checkpoints\lstm_ids.pt
2026-04-06 09:34:33 | INFO | ml.training.model:195 |   Parameters: 270,209
2026-04-06 09:34:33 | INFO | ml.training.model:196 |   Device: cuda
2026-04-06 09:34:33 | SUCCESS | app.services.lstm_service:143 | LSTM model loaded and ready for inference!
2026-04-06 09:34:33 | SUCCESS | app.main:66 | LSTM service ready.
2026-04-06 09:34:33 | WARNING | app.services.rag_service:16 | RAGService stub: /chat endpoint is unavailable. Full RAG implemented in Batch 4.
2026-04-06 09:34:33 | SUCCESS | app.main:78 | RAG service ready.
2026-04-06 09:34:33 | INFO | app.main:84 | API listening on http://0.0.0.0:8000
2026-04-06 09:34:33 | INFO | app.main:85 | Docs available at: http://localhost:8000/docs
2026-04-06 09:35:43 | INFO | app.main:90 | Shutting down...
2026-04-06 09:35:43 | INFO | app.services.lstm_service:152 | LSTM model unloaded.
2026-04-06 09:35:43 | INFO | app.main:98 | Shutdown complete.
2026-04-06 09:39:06 | INFO | app.core.logging:60 | Logging initialised — level=INFO
2026-04-06 09:39:06 | INFO | app.main:57 | ============================================================
2026-04-06 09:39:06 | INFO | app.main:58 | Starting CyberRAG-IDS v1.0.0
2026-04-06 09:39:06 | INFO | app.main:59 | ============================================================
2026-04-06 09:39:08 | INFO | app.services.lstm_service:99 | LSTM inference device: cuda
2026-04-06 09:39:08 | INFO | app.services.lstm_service:110 | Scaler loaded: ml\checkpoints\scaler.pkl
2026-04-06 09:39:08 | INFO | app.services.lstm_service:122 | Feature count: 119
